Passo127: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532429.78668
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo128: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532434.5722551
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo129: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532435.3312058
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo130: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532435.367262
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo131: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532440.397751
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo132: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532443.5385935
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo133: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532445.518248
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo134: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532447.6706853
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo135: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532447.8839574
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo136: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532448.1711662
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo137: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532450.2268178
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo138: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532455.5530293
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo139: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532457.3727233
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo140: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532457.5795298
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo141: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532460.2280068
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo142: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532462.1894734
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo143: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532462.492622
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo144: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532462.6229458
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo145: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532465.0720046
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo146: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532465.153085
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo147: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532465.3295774
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo148: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532474.3030045
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo149: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532475.0508904
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo150: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532475.1168897
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo151: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532480.1259723
